Comment
"https://www.youtube.com/watch?v=eMW9ZxXxCHI 

Mời mọi người nghe bài mới "" Anh Đã Lớn Hơn Thế Nhiều """
Amazing good job!!!
Bài hát quá xuất sắc 💕 (3/5/2021)
"Tới với bài này cũng là một sự tình cờ, cũng lâu rồi mới có cảm giác yêu ai đó nhiều như vậy. Cảm ơn cậu đã ghé làm thời gian của mình được vui như vậy ❤️"
"Đẹp nhất của tuổi trẻ chưa chắc là tình yêu,đẹp nhất của tuổi trẻ đôi khi lại là hình ảnh 1 mình đi qua những tháng ngày cô đơn."
2/5/2020 and this song still get me to the fullest
"Cư Jút Đắk Nông có mặt - Quá sâu lắng, thấm thiệt"
Cảm ơn cậu vì đã là một phần thanh xuân của tơ <3 Dù là cuối cùng cậu chọn cách rời đi nhưng đó là quyết định của cậu và tớ tôn trọng điều đó. Tớ luôn tỏ ra là k có gì khi gặp lại cậu nhưng thật sự thì tớ tiếc lắm . Tớ nhớ cậu rất nhiều :(((
2:00 Tofu rap đỉnh thật sự!
03:02  “Ngủ chưa?” “Tớ định nhớ cậu một lần nữa rồi ngủ. 🍱
"Chúc mừng ""Ghé Qua"" đã đạt 50tr view ❤️"
"Ai còn nghe điểm danh , không quan trọng ngày tháng
Cũng lâu rồi BCTM không ra nhạc nhể"
50M views rồi anh em TNS với BCTM ơiiii
Ngày Giỗ Tổ có ai còn nghe hongg . Bài hát nghe thấm thía quá giai điệu quá chill pha lẫn chút pùn ❤❤❤
Chưa bao giờ tôi lại nghiện 1 bài rap lâu như vậy
"I've never listened to vietnamese rap. It sounds amazing. Keep going, great job! 💪🏻
Also you have a beautiful country 🇻🇳. Greetings from Catalonia"
Người ta cứ chạy  đua theo Jack và những top hit. Tôi chỉ mãi tìm những bản nhạc đã cũ. Hoặc nhẹ nhàng và không hoa mỹ như Bùi Anh Tuấn hoặc bài hát này. Hay thực sự.
bài lâu lắm r mà nghe lại vẫn thấy xịn như mấy bài rap hiện giờ =))
"Anh lại muốn cùng em đi về nơi bình yên vàng nắng chiều
Phía hoàng hôn vẫn còn sương mai còn chưa hòa tan vào cánh diều
Ngồi cạnh nhau, trên đồi hoa, thoảng mùi vị phấn hoa
Chân trời hiện rõ qua ánh kẽ tay, ánh đèn đường thị trấn xa"
Ai còn nghe 30/3/2021
"I want to see you again...just only once...miss and need you...
#CamQuyts3010"
Vie.w tăng nhanh quá.  Chúc mừng ad 🎉
Có bạn nào từ Tik Tok Qua đây điểm danh cái ạ
"Bài hát giúp cho những con người cô đơn thêm yêu đời, động lực để yêu cr của mình"
"Nhớ nhất đang hát thì con chó giật mic
Buồn nhất là phải nhìn e khóc vì 1 người khác 
Bất lực"
"Em không thể quên tháng ngày cũ đã xa xưa  Em vẫn đang nuối tiếc những điều mà ta chưa.... 
Không biết đến khi nào e mới có thể ổn trở lại 😔 nhớ anh thật nhiều!!!!"
Cảm ơn m đã cho t biết đến bài hát hay như thế này. Cảm ơn m đã xuất hiện trong thanh xuân của t. Tiếc là t với m không thể cùng nhau hạnh phúc 💙💜
Bài này chill nhất khi lên Đà Lạt
"Tạm biệt em, mối tình có lẽ chỉ có từ phía anh rồi cuối cùng anh vẫn chỉ là sự lựa chọn không hơn không kém =)) a đã từng mơ như trong lời bài hát vậy... tạm biệt em 6/5/2021"
"Anh lại muốn cùng em đi về nơi bình yên vàng nắng chiều

Phía hoàng hôn vẫn còn sương mai còn chưa hòa tan vào cánh diều

Ngồi cạnh nhau, trên đồi hoa, thoảng mùi vị phấn hoa

Chân trời hiện rõ qua ánh kẽ tay, ánh đèn đường thị trấn xa"
Lần đầu tiên nghe là lúc bài này ra khoản vài ngày và tới 2020 mới thấy nó hay
54tr rùi.Ngày nào cũng ghe vài lần 🚣
05:12  Cách tốt nhất để giữ lời hứa là đừng hứa gì cả. 😚☺
2021❤️
Sắp 50tr rồi :))) cày đi mn ơi :))
2019 ai xem hú cái cho tao đỡ cô đơn
"Bài này nghe từ hồi mới ra với nyc, thấm thoát mà 3 năm rồi...."
Bài hát ra 3 năm rồi mà đến 2021 mới phát hiện ra . Nghe hay quá 🥰
"Nghe nhạc lại nhớ đến ngày hai đứa chưa có tiền. Mơ mộng được đi du lịch Đà Lạt... Đến khi có tiền đi rồi, thì lại lên Đà Lạt để chia tay nhau-mối tình đầu của mình. Một người mà mình từng yêu hơn chính bản thân"
Thời thanh xuân ko chỉ đẹp khi có tình yêu mà còn là những ngày tháng đi đây đi đó cùng lũ bạn để sau này nghĩ lại chúng ta ko phải hối tiếc 1 thời đã qua ❤️
